9fe6ea,23fa,record_button,⏺
a06c6c,1f3b4,flower_playing_cards,🎴
a08f69,1f958,shallow_pan_of_food,🥘
a0e6ea,1f504,arrows_counterclockwise,🔄
a19a8a,1f54b,kaaba,🕋
a1a5a6,1f408,cat2,🐈
a1afb7,1f4f9,video_camera,📹
a1b68a,1f1f8-1f1e7,flag_sb,🇸🇧
a1b86d,1f1e8-1f1e8,flag_cc,🇨🇨
a1e6ea,1f6bb,restroom,🚻
a2afae,1f688,light_rail,🚈
a38771,1f6aa,door,🚪
a3b5c0,1f1f9-1f1fb,flag_tv,🇹🇻
a4a0a3,1f4ec,mailbox_with_mail,📬
a4a4a4,1f3ac,clapper,🎬
a4ac9a,1f4df,pager,📟
a4ae93,1f6e3,motorway,🛣
a4bb91,1f305,sunrise,🌅
a4bbca,1f3d4,mountain_snow,🏔
a4bf85,264e,libra,♎
a4cfc9,1f3dd,island,🏝
a58f7c,1f358,rice_cracker,🍘
a5acb1,1f68e,trolleybus,🚎
a5b0c0,1f1e7-1f1ff,flag_bz,🇧🇿
a5bcb1,1f684,bullettrain_side,🚄
a5e7eb,1f6c5,left_luggage,🛅
a6b198,1f68b,train,🚋
a7918b,1f479,japanese_ogre,👹
a79695,1f4be,floppy_disk,💾
a7969a,1f1ec-1f1f2,flag_gm,🇬🇲
a7b4a1,2611,ballot_box_with_check,☑
a7d6e9,1f1ec-1f1f9,flag_gt,🇬🇹
a7e8ec,23f9,stop_button,⏹
a8a874,1f1e7-1f1e9,flag_bd,🇧🇩
a8a9a7,260e,telephone,☎
a8acb0,1f39b,control_knobs,🎛
a8b47f,1f1f2-1f1fb,flag_mv,🇲🇻
a8dcb8,1f3bd,running_shirt_with_sash,🎽
a9c78d,1f4b5,dollar,💵
a9c8d8,1f1f8-1f1fb,flag_sv,🇸🇻
a9c8dd,1f1f3-1f1ee,flag_ni,🇳🇮
a9ce87,1f340,four_leaf_clover,🍀
a9d3c4,1f1e9-1f1ef,flag_dj,🇩🇯
a9d8f0,1f1ed-1f1f3,flag_hn,🇭🇳
aa93af,1f1f1-1f1e6,flag_la,🇱🇦
aae6da,1f47b,ghost,👻
ab8d91,1f1f2-1f1f3,flag_mn,🇲🇳
aba79b,1f3ec,department_store,🏬
abab8d,1f69e,mountain_railway,🚞
abb29d,1f1e7-1f1e6,flag_ba,🇧🇦
abe9ed,1f6c4,baggage_claim,🛄
ac837d,1f1f5-1f1ec,flag_pg,🇵🇬
acacad,1f45e,mans_shoe,👞
acb4b5,1f4e0,fax,📠
acb8b6,1f3df,stadium,🏟
adbb7d,1f1ff-1f1f2,flag_zm,🇿🇲
add5eb,1f4d8,blue_book,📘
ae979b,1f1e6-1f1fd,flag_ax,🇦🇽
ae9eb8,1f1ee-1f1f8,flag_is,🇮🇸
aeaa76,1f4ca,bar_chart,📊
aeb1b3,1f4e1,satellite,📡
aeb66f,1f1ef-1f1f2,flag_jm,🇯🇲
aeb6b9,1f464,bust_in_silhouette,👤
aec7cf,1f3a7,headphones,🎧
aecfa2,1f1f7-1f1fc,flag_rw,🇷🇼
aee9ed,1f5ef,anger_right,🗯
afadaa,1f4a3,bomb,💣
afaeac,1f3ae,video_game,🎮
afaf8f,1f1e7-1f1e7,flag_bb,🇧🇧
afafaf,25fe,black_medium_small_square,◾
afc0b2,1f473,man_with_turban,👳
afe3f8,1f499,blue_heart,💙
b07058,1f306,city_dusk,🌆
b07d83,1f69f,suspension_railway,🚟
b08659,1f307,city_sunset,🌇
b09ec7,2652,aquarius,♒
b0b3b4,2716,heavy_multiplication_x,✖
b0b4b3,1f3af,dart,🎯
b0b8bb,1f465,busts_in_silhouette,👥
b0c795,1f1f5-1f1f0,flag_pk,🇵🇰
b1977f,1f43b,bear,🐻
b1b0c7,1f1f9-1f1ed,flag_th,🇹🇭
b1b1ae,1f1e8-1f1e9,flag_cd,🇨🇩
b1bcc1,1f43a,wolf,🐺
b1c4bf,1f3e4,european_post_office,🏤
b1c688,1f1e7-1f1f7,flag_br,🇧🇷
b1cbdd,1f921,clown,🤡
b1cf90,1f333,deciduous_tree,🌳
b1d095,267b,recycle,♻
b1e5f2,1f433,whale,🐳
b29997,1f1f8-1f1ff,flag_sz,🇸🇿
b2a17b,1f1f0-1f1f3,flag_kn,🇰🇳
b2b499,1f1ff-1f1e6,flag_za,🇿🇦
b2b5b6,1f503,arrows_clockwise,🔃
b2b5b7,27b0,curly_loop,➰
b2bbb6,1f1ee-1f1e8,flag_ic,🇮🇨
b2cfe6,269b,atom,⚛
b2d78f,1f1f2-1f1f4,flag_mo,🇲🇴
b3ab9b,1f5c3,card_box,🗃
b3afd0,1f47e,space_invader,👾
b3b2b4,1f3b0,slot_machine,🎰
b3b8b8,1f694,oncoming_police_car,🚔
b3bcc2,1f43c,panda_face,🐼
b3c2ca,1f301,foggy,🌁
b3c7ca,1f45c,handbag,👜
b4b1b1,1f38e,dolls,🎎
b4b450,1f304,sunrise_over_mountains,🌄
b4b6b8,1f4b2,heavy_dollar_sign,💲
b4bb9c,1f381,gift,🎁
b4c5b1,1f1f5-1f1f2,flag_pm,🇵🇲
b4d08b,1f409,dragon,🐉
b4d895,264d,virgo,♍
b4ebef,1f300,cyclone,🌀
b58ba0,1f1ed-1f1f9,flag_ht,🇭🇹
b5a796,1f1f5-1f1f8,flag_ps,🇵🇸
b5ae8e,1f1f2-1f1ff,flag_mz,🇲🇿
b5ae9b,1f1ef-1f1f4,flag_jo,🇯🇴
b5b3af,1f373,cooking,🍳
b5b6b5,1f5c4,file_cabinet,🗄
b5b7b8,262f,yin_yang,☯
b5bcc0,1f5e3,speaking_head,🗣
b5be90,1f6e4,railway_track,🛤
b5cad4,1f699,blue_car,🚙
b5cb86,1f1f9-1f1f2,flag_tm,🇹🇲
b5cd9b,1f3d5,camping,🏕
b5d884,1f34f,green_apple,🍏
b6899a,1f1f1-1f1ee,flag_li,🇱🇮
b6b189,1f1f3-1f1e8,flag_nc,🇳🇨
b6c889,1f1ec-1f1e6,flag_ga,🇬🇦
b6d699,2618,shamrock,☘
b6d9e7,1f426,bird,🐦
b6ecef,1f441-1f5e8,eye_in_speech_bubble,👁🗨
b7a292,1f1f0-1f1ea,flag_ke,🇰🇪
b7aaa1,1f1e6-1f1ff,flag_az,🇦🇿
b7d2e6,1f1ec-1f1f7,flag_gr,🇬🇷
b8aa8a,1f1f2-1f1fa,flag_mu,🇲🇺
b8b4ba,1f1f2-1f1ed,flag_mh,🇲🇭
b8babe,1f3e3,post_office,🏣
b8bd9e,1f682,steam_locomotive,🚂
b8cbd4,1f454,necktie,👔
